LocationID,X,Y,zone,borough
49,-73.9649337316477,40.6885158752504,Clinton Hill,Brooklyn
50,-73.9938994033218,40.7666923746668,Clinton West,Manhattan
51,-73.8304236318969,40.874061550909,Co-Op City,Bronx
52,-73.9969224713871,40.6866045417646,Cobble Hill,Brooklyn
53,-73.8440703458857,40.7819879584294,College Point,Queens
54,-74.003092790563,40.6869911475205,Columbia Street,Brooklyn
55,-73.9904741395563,40.5768996198541,Coney Island,Brooklyn
56,-73.8590533534623,40.7415986155017,Corona,Queens
57,-73.853384474855,40.7523160392058,Corona,Queens
58,-73.8207053822972,40.8414754987567,Country Club,Bronx
59,-73.8930744338338,40.8388599905968,Crotona Park,Bronx
60,-73.8897822026553,40.8312941187883,Crotona Park East,Bronx
61,-73.9412820292214,40.6738428461316,Crown Heights North,Brooklyn
62,-73.9492699670747,40.6670895607261,Crown Heights South,Brooklyn
63,-73.8776764323789,40.6848101947076,Cypress Hills,Brooklyn
64,-73.7313921625056,40.760631276033,Douglaston,Queens
65,-73.9855710635353,40.6953726093294,Downtown Brooklyn/MetroTech,Brooklyn
66,-73.9863827475546,40.701732471687,DUMBO/Vinegar Hill,Brooklyn
67,-74.0147358711929,40.6184544072203,Dyker Heights,Brooklyn
68,-73.9999401565074,40.7483972248318,East Chelsea,Manhattan
69,-73.9153662202336,40.8306076776139,East Concourse/Concourse Village,Bronx
70,-73.8684029143644,40.7639478203254,East Elmhurst,Queens
71,-73.9377345201578,40.6439285192804,East Flatbush/Farragut,Brooklyn
72,-73.9202100548833,40.6524606311874,East Flatbush/Remsen Village,Brooklyn
73,-73.8065843331469,40.7536974869459,East Flushing,Queens
74,-73.9383104968462,40.8055655654775,East Harlem North,Manhattan
75,-73.9449566676846,40.7906501597646,East Harlem South,Manhattan
76,-73.8784173669943,40.6586863044662,East New York,Brooklyn
77,-73.8957171569753,40.6677018744258,East New York/Pennsylvania Avenue,Brooklyn
78,-73.8866455940689,40.8460302771125,East Tremont,Bronx
79,-73.9852141243977,40.7279442789046,East Village,Manhattan
80,-73.9423293071901,40.7144695745871,East Williamsburg,Brooklyn
81,-73.8455325663154,40.8773588281637,Eastchester,Bronx
82,-73.8723440095934,40.7384639203673,Elmhurst,Queens
83,-73.889221829475,40.7401456031773,Elmhurst/Maspeth,Queens
84,-74.1739373269384,40.5320172010873,Eltingville/Annadale/Prince's Bay,Staten Island
85,-73.9522088368464,40.6472549665241,Erasmus,Brooklyn
86,-73.7541867292922,40.6025539265615,Far Rockaway,Queens
87,-74.0078121163865,40.706659617356,Financial District North,Manhattan
88,-74.0113077706368,40.7033938017209,Financial District South,Manhattan
89,-73.9626937337469,40.64098273381,Flatbush/Ditmas Park,Brooklyn
90,-73.9967775123964,40.7425461606612,Flatiron,Manhattan
91,-73.932543590688,40.6273899924426,Flatlands,Brooklyn
92,-73.8304471275476,40.7641272834135,Flushing,Queens
93,-73.8418927550086,40.7392346574674,Flushing Meadows-Corona Park,Queens
94,-73.900591010865,40.8582607643596,Fordham South,Bronx
95,-73.8482199362705,40.7234652723597,Forest Hills,Queens
96,-73.8760122181239,40.6957609903045,Forest Park/Highland Park,Queens
97,-73.975576580035,40.6906156556941,Fort Greene,Brooklyn
98,-73.7795502346253,40.7338412186621,Fresh Meadows,Queens
99,-74.187702737221,40.5796179453647,Freshkills Park,Staten Island
100,-73.9887858928492,40.7535140917746,Garment District,Manhattan
101,-73.7090705910379,40.7437217835813,Glen Oaks,Queens
102,-73.8819987296701,40.7026793599143,Glendale,Queens
103,-74.0451814058337,40.6898605712245,Governor's Island/Ellis Island/Liberty Island,Manhattan
103,-74.0391308720565,40.6986732840584,Governor's Island/Ellis Island/Liberty Island,Manhattan
103,-74.0187943689955,40.6881378249245,Governor's Island/Ellis Island/Liberty Island,Manhattan
106,-73.9917635756064,40.6733611676171,Gowanus,Brooklyn
107,-73.9833103532463,40.7373483763208,Gramercy,Manhattan
108,-73.9803761510937,40.5891103441533,Gravesend,Brooklyn
109,-74.1527146857649,40.5488307159092,Great Kills,Staten Island
110,-74.1258464065771,40.5432675249983,Great Kills Park,Staten Island
111,-73.990988902762,40.6521158025647,Green-Wood Cemetery,Brooklyn
112,-73.9484721972696,40.7288303471399,Greenpoint,Brooklyn
113,-73.9946282171513,40.7324859518256,Greenwich Village North,Manhattan
114,-73.9986779466048,40.7286117315904,Greenwich Village South,Manhattan
115,-74.0924861023209,40.6201275450588,Grymes Hill/Clifton,Staten Island
116,-73.9473675432227,40.827535259806,Hamilton Heights,Manhattan
117,-73.7760841015511,40.5960558298222,Hammels/Arverne,Queens
118,-74.1370701313217,40.5856310621159,Heartland Village/Todt Hill,Staten Island
119,-73.9269662109924,40.8367300313346,Highbridge,Bronx
120,-73.9308068517413,40.8460040720504,Highbridge Park,Manhattan
121,-73.7996883075716,40.7273471948519,Hillcrest/Pomonok,Queens
122,-73.7615641851515,40.7110684671189,Hollis,Queens
123,-73.9651983047602,40.6002048027388,Homecrest,Brooklyn
124,-73.8500050428708,40.6595667686077,Howard Beach,Queens
125,-74.0071756920052,40.7253763405368,Hudson Sq,Manhattan
126,-73.8849772729363,40.813918192187,Hunts Point,Bronx
127,-73.9203254718565,40.8650626832916,Inwood,Manhattan
128,-73.9254320855109,40.8721876093241,Inwood Hill Park,Manhattan
129,-73.8874063794919,40.7590574739636,Jackson Heights,Queens
130,-73.8003475246798,40.7032738833012,Jamaica,Queens
131,-73.7713744950727,40.720412328134,Jamaica Estates,Queens
132,-73.778263658902,40.6426045217178,JFK Airport,Queens
133,-73.9743361977043,40.6393872038878,Kensington,Brooklyn
134,-73.8299927030517,40.7087501798075,Kew Gardens,Queens
135,-73.8239855138759,40.7294099643617,Kew Gardens Hills,Queens
136,-73.9057199662352,40.8648027310875,Kingsbridge Heights,Bronx
137,-73.9771193707357,40.7403592357115,Kips Bay,Manhattan
138,-73.8728037146871,40.7748673895178,LaGuardia Airport,Queens
139,-73.7433230842567,40.6777493674309,Laurelton,Queens
140,-73.9545680421348,40.7655068182316,Lenox Hill East,Manhattan
141,-73.9597126787805,40.7668388165846,Lenox Hill West,Manhattan
142,-73.9813524137399,40.7739059853886,Lincoln Square East,Manhattan
143,-73.9879729664182,40.7757702095713,Lincoln Square West,Manhattan
144,-73.9974066841975,40.7205814515076,Little Italy/NoLiTa,Manhattan
145,-73.9486991918172,40.7465899679036,Long Island City/Hunters Point,Queens
146,-73.9336340945451,40.7545288941149,Long Island City/Queens Plaza,Queens
147,-73.8981929347315,40.8191985303455,Longwood,Bronx
148,-73.9907183626618,40.7192116742044,Lower East Side,Manhattan
149,-73.9484742088121,40.6065579859268,Madison,Brooklyn
150,-73.9428842620734,40.5802623241253,Manhattan Beach,Brooklyn
151,-73.9678083909732,40.797866268004,Manhattan Valley,Manhattan
152,-73.9543248746271,40.8175772001908,Manhattanville,Manhattan
153,-73.9110625766578,40.8756004059432,Marble Hill,Manhattan
154,-73.8961233069501,40.593118666611,Marine Park/Floyd Bennett Field,Brooklyn
155,-73.9067693423191,40.6177885388735,Marine Park/Mill Basin,Brooklyn
156,-74.1648593047613,40.6287483754853,Mariners Harbor,Staten Island
157,-73.9019256908442,40.7240393566008,Maspeth,Queens
158,-74.0083857570117,40.735248066679,Meatpacking/West Village West,Manhattan
159,-73.9135829897644,40.8182594605072,Melrose South,Bronx
160,-73.8807122478637,40.7185038197548,Middle Village,Queens
161,-73.9774318381095,40.7582264812217,Midtown Center,Manhattan
162,-73.9721454850812,40.7568161553126,Midtown East,Manhattan
163,-73.9783669880204,40.7644254534051,Midtown North,Manhattan
164,-73.9859288064872,40.7488076668144,Midtown South,Manhattan
165,-73.9546029482619,40.6209587000862,Midwood,Brooklyn
166,-73.9618152643826,40.8095702282723,Morningside Heights,Manhattan
167,-73.9044425941057,40.8279880356749,Morrisania/Melrose,Bronx
168,-73.9170580317151,40.8074395308644,Mott Haven/Port Morris,Bronx
169,-73.9050214600049,40.8491148219147,Mount Hope,Bronx
170,-73.9769419924356,40.7476542811031,Murray Hill,Manhattan
171,-73.8088807171629,40.7689436687832,Murray Hill-Queens,Queens
172,-74.1039265024817,40.5724654201423,New Dorp/Midland Beach,Staten Island
173,-73.8630837007824,40.7517792439212,North Corona,Queens
174,-73.8777605618466,40.8768525921671,Norwood,Bronx
175,-73.7573567716067,40.743273849336,Oakland Gardens,Queens
176,-74.1196124324174,40.5620606070131,Oakwood,Staten Island
177,-73.9111057913062,40.6770986129152,Ocean Hill,Brooklyn
178,-73.9706887790417,40.6176331814343,Ocean Parkway South,Brooklyn
179,-73.9268123582238,40.7714253418156,Old Astoria,Queens
180,-73.8493643543423,40.6751638515945,Ozone Park,Queens
181,-73.979044896845,40.672019140546,Park Slope,Brooklyn
182,-73.8579416206911,40.8374043586994,Parkchester,Bronx
183,-73.8318540529646,40.8495686468422,Pelham Bay,Bronx
184,-73.8046108382118,40.8647854171785,Pelham Bay Park,Bronx
185,-73.8551804331804,40.8534716586784,Pelham Parkway,Bronx
186,-73.9924553277106,40.7484763617618,Penn Station/Madison Sq West,Manhattan
187,-74.1411524820629,40.6254537199379,Port Richmond,Staten Island
188,-73.94520015759,40.6575600630782,Prospect-Lefferts Gardens,Brooklyn
189,-73.968269632125,40.6771824866237,Prospect Heights,Brooklyn
190,-73.9709500738325,40.6606075676682,Prospect Park,Brooklyn
191,-73.7411204207497,40.7142783033807,Queens Village,Queens
192,-73.8151925356493,40.7444109985,Queensboro Hill,Queens
193,-73.9402863033051,40.7617244307638,Queensbridge/Ravenswood,Queens
194,-73.9210290324994,40.7914329582306,Randalls Island,Manhattan
195,-74.009549313284,40.6754616838619,Red Hook,Brooklyn
196,-73.8640102120344,40.7236478589889,Rego Park,Queens
197,-73.8290435569064,40.6930004742218,Richmond Hill,Queens
198,-73.9019937512221,40.7045215336003,Ridgewood,Queens
199,-73.8835364013293,40.7920459432226,Rikers Island,Bronx
200,-73.9064606078974,40.8998596211143,Riverdale/North Riverdale/Fieldston,Bronx
201,-73.8472464785559,40.577468718337,Rockaway Park,Queens
202,-73.9504104879777,40.7611679139077,Roosevelt Island,Manhattan
203,-73.7367188089441,40.6595017770463,Rosedale,Queens
204,-74.2069729508607,40.5407426890056,Rossville/Woodrow,Staten Island
205,-73.7626156564313,40.6922189718589,Saint Albans,Queens
206,-74.1231637564731,40.6359593979133,Saint George/New Brighton,Staten Island
207,-73.8993250159726,40.7635113549352,Saint Michaels Cemetery/Woodside,Queens
208,-73.824886342133,40.8246861384134,Schuylerville/Edgewater Park,Bronx
209,-74.0023597244525,40.7084896914032,Seaport,Manhattan
210,-73.9443360454416,40.5937616085004,Sheepshead Bay,Brooklyn
211,-74.0013747299582,40.7238990714701,SoHo,Manhattan
212,-73.8699019343016,40.8282769856365,Soundview/Bruckner,Bronx
213,-73.8607910370492,40.816490762555,Soundview/Castle Hill,Bronx
214,-74.0858854521269,40.5866190655298,South Beach/Dongan Hills,Staten Island
215,-73.7903675378715,40.6941903013512,South Jamaica,Queens
216,-73.8205132705286,40.6770712325623,South Ozone Park,Queens
217,-73.9568457688564,40.703249610232,South Williamsburg,Brooklyn
218,-73.7721162803473,40.6736200279408,Springfield Gardens North,Queens
219,-73.7610079604205,40.6602284956109,Springfield Gardens South,Queens
220,-73.9118772631728,40.8819009385792,Spuyten Duyvil/Kingsbridge,Bronx
221,-74.0813347613662,40.6202239775881,Stapleton,Staten Island
222,-73.8821375169092,40.6468719097136,Starrett City,Brooklyn
223,-73.906671830047,40.7781933282005,Steinway,Queens
224,-73.9778420751297,40.7317281591558,Stuy Town/Peter Cooper Village,Manhattan
225,-73.9314448522357,40.6887850672001,Stuyvesant Heights,Brooklyn
226,-73.9293212827563,40.7352734102809,Sunnyside,Queens
227,-74.0067945517929,40.6415976370168,Sunset Park East,Brooklyn
228,-74.009960471569,40.6536182069019,Sunset Park West,Brooklyn
229,-73.9651741989212,40.7565892984893,Sutton Place/Turtle Bay North,Manhattan
230,-73.9841761608222,40.7598447400293,Times Sq/Theatre District,Manhattan
231,-74.0067116243899,40.7186956410077,TriBeCa/Civic Center,Manhattan
232,-73.9823067049464,40.7153860841071,Two Bridges/Seward Park,Manhattan
233,-73.9712559771296,40.7491720982236,UN/Turtle Bay South,Manhattan
234,-73.9904776189691,40.7403134645878,Union Sq,Manhattan
235,-73.9149683294755,40.8535029301211,University Heights/Morris Heights,Bronx
236,-73.9569723853064,40.7804914757347,Upper East Side North,Manhattan
237,-73.9656914919459,40.7685418846646,Upper East Side South,Manhattan
238,-73.9728145174503,40.7917662467824,Upper West Side North,Manhattan
239,-73.9782733418486,40.7841073645538,Upper West Side South,Manhattan
240,-73.8790671945698,40.8947464191253,Van Cortlandt Park,Bronx
241,-73.8964501437395,40.8759758476571,Van Cortlandt Village,Bronx
242,-73.8398789614734,40.8495965844009,Van Nest/Morris Park,Bronx
243,-73.9328243182356,40.8586702866313,Washington Heights North,Manhattan
244,-73.9416668140575,40.8412186698664,Washington Heights South,Manhattan
245,-74.1031706067521,40.628478475102,West Brighton,Staten Island
246,-74.004512572075,40.7524372519647,West Chelsea/Hudson Yards,Manhattan
247,-73.9250591826957,40.8292114745072,West Concourse,Bronx
248,-73.8710104534108,40.8346771999308,West Farms/Bronx River,Bronx
249,-74.0024969086272,40.7346115559814,West Village,Manhattan
250,-73.8494786753898,40.8324906886295,Westchester Village/Unionport,Bronx
251,-74.1232368409925,40.6196055161537,Westerleigh,Staten Island
252,-73.8153942986072,40.788360648021,Whitestone,Queens
253,-73.8414745485909,40.7600863368444,Willets Point,Queens
254,-73.8582696518177,40.8832233292992,Williamsbridge/Olinville,Bronx
255,-73.9571337756889,40.7188341922346,Williamsburg (North Side),Brooklyn
256,-73.9591078838642,40.7109771296904,Williamsburg (South Side),Brooklyn
257,-73.9772393111852,40.6536644952118,Windsor Terrace,Brooklyn
258,-73.8566390530717,40.6901263678129,Woodhaven,Queens
259,-73.8563511172889,40.8991027731978,Woodlawn/Wakefield,Bronx
260,-73.9037132789432,40.7467977944692,Woodside,Queens
261,-74.0129193755126,40.708975618892,World Trade Center,Manhattan
262,-73.9458298180079,40.7765342289951,Yorkville East,Manhattan
263,-73.9512079916544,40.7784958687768,Yorkville West,Manhattan
